                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.3586,                0.70253,                 1.1305,                0.96463,                0.93917,                0.96357,                0.58238,                 1.2743,                0.59325,                  1.087,              0.0012269,              0.0012269,              0.0012269
                     82,                 1.3529,                0.68021,                 1.1126,                0.95787,                 0.9382,                 0.9645,                0.58862,                 1.2471,                0.58211,                 1.0778,              0.0012214,              0.0012214,              0.0012214
                     83,                 1.3395,                0.70067,                 1.1188,                 0.9666,                0.93634,                 0.9645,                0.57831,                 1.2881,                0.58158,                 1.0957,              0.0012159,              0.0012159,              0.0012159
                     84,                 1.3724,                0.70575,                 1.1169,                  0.962,                0.93863,                0.95704,                0.57744,                 1.3129,                0.58688,                 1.0901,              0.0012104,              0.0012104,              0.0012104
                     85,                 1.3355,                0.69412,                 1.1052,                0.95374,                0.93583,                0.96175,                0.57674,                 1.2911,                0.58729,                 1.0907,              0.0012049,              0.0012049,              0.0012049
                     86,                 1.3619,                0.68943,                 1.1357,                0.97651,                0.92988,                0.96506,                0.60035,                 1.2575,                0.56751,                 1.0821,              0.0011994,              0.0011994,              0.0011994
                     87,                 1.3317,                0.68984,                 1.1108,                0.96425,                 0.9429,                0.96746,                0.59101,                 1.2559,                0.56947,                 1.0836,              0.0011939,              0.0011939,              0.0011939
                     88,                 1.3386,                0.67727,                  1.116,                0.95609,                0.93885,                0.96643,                0.58729,                 1.2502,                0.57614,                 1.0732,              0.0011884,              0.0011884,              0.0011884
                     89,                 1.3341,                0.68964,                 1.1126,                0.96208,                0.94444,                 0.9664,                0.59066,                 1.2383,                0.57251,                 1.0753,              0.0011829,              0.0011829,              0.0011829
                     90,                 1.3278,                 0.6676,                 1.1123,                0.95675,                0.94544,                0.96464,                0.59095,                 1.2482,                0.57707,                 1.0761,              0.0011774,              0.0011774,              0.0011774
                     91,                 1.3245,                0.68595,                 1.1051,                 0.9674,                0.94395,                0.97009,                0.61029,                 1.2169,                0.56368,                 1.0616,              0.0011719,              0.0011719,              0.0011719
                     92,                 1.3467,                0.68158,                 1.1326,                  0.959,                0.93879,                0.96365,                0.59961,                 1.2452,                0.57392,                 1.0742,              0.0011664,              0.0011664,              0.0011664
                     93,                 1.3143,                0.68594,                 1.1166,                0.96877,                0.93642,                0.96319,                0.59447,                  1.245,                 0.5747,                 1.0771,              0.0011609,              0.0011609,              0.0011609
                     94,                 1.3278,                0.67448,                 1.1006,                0.97194,                0.93877,                0.96713,                0.60304,                 1.2308,                 0.5791,                 1.0761,              0.0011554,              0.0011554,              0.0011554
                     95,                 1.3512,                0.68172,                 1.1219,                0.96324,                0.93958,                0.96285,                0.59893,                 1.2427,                0.58238,                 1.0725,              0.0011499,              0.0011499,              0.0011499
                     96,                 1.3483,                0.67674,                 1.1346,                0.96814,                0.94756,                0.96832,                0.60235,                 1.2337,                0.56007,                 1.0728,              0.0011444,              0.0011444,              0.0011444
                     97,                 1.2779,                0.64699,                 1.0926,                0.97616,                0.95124,                0.96973,                0.60689,                 1.2157,                0.54553,                 1.0605,              0.0011389,              0.0011389,              0.0011389
                     98,                 1.2967,                0.65281,                  1.088,                 0.9735,                0.94789,                0.96869,                0.61249,                 1.1954,                0.55029,                 1.0567,              0.0011334,              0.0011334,              0.0011334
                     99,                 1.2695,                0.65037,                 1.0901,                0.97432,                0.94765,                0.97106,                0.61538,                 1.1955,                0.54416,                 1.0514,              0.0011279,              0.0011279,              0.0011279
                    100,                 1.2827,                0.65593,                 1.0756,                0.97114,                0.95147,                0.96722,                0.62089,                 1.1696,                0.54917,                 1.0453,              0.0011224,              0.0011224,              0.0011224
                    101,                 1.2892,                0.65617,                 1.0848,                0.96805,                0.94704,                0.96717,                0.61159,                 1.2117,                0.55647,                 1.0604,              0.0011169,              0.0011169,              0.0011169
                    102,                  1.288,                0.66546,                 1.0978,                0.96903,                0.94696,                0.96587,                0.62053,                  1.188,                0.54673,                  1.054,              0.0011114,              0.0011114,              0.0011114
